,0,Lead Amount ppb,Partial Postal Code,Sample Number,Sampled Date
2286,,0.583,M6S,1590160.0,2014-05-30
2294,,8.23,M4M,1589080.0,2014-05-30
2272,,35.4,M6C,1590164.0,2014-05-30
2251,,0.206,M6H,1591649.0,2014-05-31
2225,,2.08,M4J,1598349.0,2014-06-01
2223,,4.04,M4C,1591377.0,2014-06-01
2224,,3.23,M6P,1591630.0,2014-06-01
2234,,0.665,M4K,1591253.0,2014-06-01
2241,,1.81,M4R,1590614.0,2014-06-01
2243,,0.289,M6P,1590881.0,2014-06-01
2240,,0.0875,M6S,1596704.0,2014-06-01
2227,,1.35,M9B,1591444.0,2014-06-01
2230,,2.91,M6R,1591380.0,2014-06-01
2239,,0.116,M4E,1596876.0,2014-06-01
2233,,<0.0500,M4B,1591287.0,2014-06-01
2244,,2.21,M6N,1591636.0,2014-06-01
2237,,2.09,M4R,1590163.0,2014-06-01
2232,,0.0965,M6R,1591432.0,2014-06-01
2220,,<0.0500,M4B,1591218.0,2014-06-01
2222,,12.2,M4L,1591542.0,2014-06-01
2235,,1.29,M4E,1591194.0,2014-06-01
2228,,0.277,M4S,1589990.0,2014-06-01
2242,,0.0513,M6R,1597279.0,2014-06-01
2221,,0.307,M6S,1597280.0,2014-06-01
2236,,0.109,M8Z,1591635.0,2014-06-01
2155,,<0.0500,M1K,1590768.0,2014-06-02
2171,,0.143,M6R,1591378.0,2014-06-02
2204,,1.86,M4L,1596990.0,2014-06-02
2158,,1.15,M6S,1591390.0,2014-06-02
2187,,1.49,M4R,1590386.0,2014-06-02
2208,,0.0739,M4J,1591270.0,2014-06-02
2164,,0.0823,M4J,1591356.0,2014-06-02
2206,,0.106,M4N,1590416.0,2014-06-02
2142,,1.40,M4P,1590821.0,2014-06-02
2180,,<0.0500,M4E,1591362.0,2014-06-02
2173,,4.66,M6R,1591556.0,2014-06-02
2143,,0.256,M4J,1591381.0,2014-06-02
2154,,0.981,M4J,1591646.0,2014-06-02
2162,,8.01,M6J,1596803.0,2014-06-02
2161,,0.555,M4G,1591279.0,2014-06-02
2151,,0.104,M6P,1590459.0,2014-06-02
2198,,0.0878,M5M,1590831.0,2014-06-02
2160,,3.92,M6P,1591633.0,2014-06-02
2199,,<0.0500,M4E,1596976.0,2014-06-02
2147,,0.127,M6K,1591387.0,2014-06-02
2192,,4.33,M4M,1591548.0,2014-06-02
2202,,0.0524,M9V,1591389.0,2014-06-02
2217,,<0.0500,M3C,1590615.0,2014-06-02
2159,,4.63,M4K,1591243.0,2014-06-02
2145,,0.930,M8V,1597235.0,2014-06-02
2209,,0.169,M6J,1591623.0,2014-06-02
2218,,0.168,M4G,1591559.0,2014-06-02
2183,,3.36,M6S,1591484.0,2014-06-02
2148,,0.226,M5M,1596764.0,2014-06-02
2178,,0.148,M6B,1596977.0,2014-06-02
2188,,0.187,M4G,1594076.0,2014-06-02
2195,,0.250,M3H,1590646.0,2014-06-02
2215,,<0.0500,M6S,1591620.0,2014-06-02
2166,,0.0836,M4L,1591281.0,2014-06-02
2181,,0.221,M6P,1591419.0,2014-06-02
2214,,0.0560,M9C,1591619.0,2014-06-02
2219,,0.117,M4C,1591286.0,2014-06-02
2167,,0.531,M4K,1591363.0,2014-06-02
2176,,0.0565,M6P,1591486.0,2014-06-02
2149,,1.36,M4K,1595406.0,2014-06-02
2157,,0.0509,M8V,1591383.0,2014-06-02
2193,,0.0658,M6S,1594453.0,2014-06-02
2197,,0.0518,M5P,1590635.0,2014-06-02
2212,,<0.0500,M5R,1590419.0,2014-06-02
2196,,0.130,M4T,1597252.0,2014-06-02
2169,,4.00,M6N,1591489.0,2014-06-02
2172,,<0.0500,M6G,1590449.0,2014-06-02
2179,,0.283,M4J,1591123.0,2014-06-02
2146,,0.160,M4C,1591277.0,2014-06-02
2190,,0.0572,M6C,1594017.0,2014-06-02
2175,,0.0520,M5S,1597288.0,2014-06-02
2211,,5.54,M6P,1591558.0,2014-06-02
2156,,0.156,M5P,1596215.0,2014-06-02
2216,,0.200,M5P,1590152.0,2014-06-02
2174,,0.553,M5R,1591567.0,2014-06-02
2186,,0.144,M4J,1591618.0,2014-06-02
2207,,0.964,M6P,1591647.0,2014-06-02
2210,,3.79,M6N,1591557.0,2014-06-02
2201,,1.35,M6C,1591010.0,2014-06-02
2182,,0.158,M6P,1591450.0,2014-06-02
2203,,0.683,M4R,1590785.0,2014-06-02
2177,,0.287,M8Y,1591628.0,2014-06-02
2144,,0.210,M4K,1597104.0,2014-06-02
2165,,10.0,M6G,1597010.0,2014-06-02
2170,,0.0619,M5M,1590612.0,2014-06-02
2097,,3.21,M6G,1591376.0,2014-06-03
2102,,0.405,M5M,1594064.0,2014-06-03
2129,,2.06,M4J,1597739.0,2014-06-03
2132,,0.109,M6P,1591522.0,2014-06-03
2130,,0.0974,M4E,1591125.0,2014-06-03
2082,,1.53,M6P,1591645.0,2014-06-03
2120,,0.356,M9A,1591382.0,2014-06-03
2105,,7.71,M6S,1593012.0,2014-06-03
2083,,0.0871,M6C,1594056.0,2014-06-03
2115,,0.0894,M3H,1593790.0,2014-06-03
2137,,3.12,M6N,1591424.0,2014-06-03
2111,,8.53,M4E,1594667.0,2014-06-03
2089,,3.23,M6K,1596866.0,2014-06-03
2140,,0.0923,M6E,1591386.0,2014-06-03
2139,,1.21,M4K,1596903.0,2014-06-03
2136,,1.98,M6S,1591355.0,2014-06-03
2119,,1.32,M4J,1591622.0,2014-06-03
2106,,2.86,M4L,1597914.0,2014-06-03
2112,,7.18,M5M,1597013.0,2014-06-03
2093,,0.700,M6H,1593096.0,2014-06-03
2109,,0.140,M6P,1593136.0,2014-06-03
2127,,0.116,M5R,1597011.0,2014-06-03
2131,,0.0551,M9B,1591575.0,2014-06-03
2128,,<0.0500,M4L,1596868.0,2014-06-03
2103,,0.0782,M6P,1592940.0,2014-06-03
2110,,1.44,M4B,1597909.0,2014-06-03
2085,,2.57,M4L,1591360.0,2014-06-03
2107,,<0.0500,M8V,1591388.0,2014-06-03
2101,,0.332,M4G,1591141.0,2014-06-03
2123,,0.297,M6S,1593145.0,2014-06-03
2104,,0.0515,M4N,1594074.0,2014-06-03
2124,,0.174,M4R,1590638.0,2014-06-03
2086,,0.363,M4G,1591366.0,2014-06-03
2100,,<0.0500,M5R,1596706.0,2014-06-03
2087,,0.368,M6S,1598987.0,2014-06-03
2094,,2.59,M4N,1594093.0,2014-06-03
2138,,0.103,M6S,1608405.0,2014-06-03
2091,,0.0768,M6S,1592969.0,2014-06-03
2117,,<0.0500,M6H,1591639.0,2014-06-03
2135,,1.89,M4E,1591280.0,2014-06-03
2116,,0.0674,M6P,1593137.0,2014-06-03
2118,,1.32,M4G,1596744.0,2014-06-03
2134,,0.0673,M4J,1591159.0,2014-06-03
2125,,0.0805,M4N,1597906.0,2014-06-03
2090,,3.87,M4N,1597872.0,2014-06-03
2121,,2.76,M4N,1591052.0,2014-06-03
2084,,0.906,M5S,1595453.0,2014-06-03
2122,,0.125,M1S,1590758.0,2014-06-03
2133,,0.0906,M6C,1591087.0,2014-06-03
2126,,0.342,M4J,1591283.0,2014-06-03
2048,,<0.0500,M4J,1597290.0,2014-06-04
